Name,Id_Atlas,Stage0,Stage1,Stage2,Stage3,Stage4,Stage5,Stage6,Stage7,Stage8,Stage9,Stage10,Stage11,Stage12,Stage13,Stage14,Stage15,Stage16
lPreCG,1,-0.518 ,-0.350 ,-0.076 ,0.016 ,0.036 ,0.328 ,0.666 ,0.305 ,0.455 ,0.690 ,0.635 ,0.864 ,0.999 ,0.806 ,1.285 ,1.147 ,1.746 
rPreCG,2,-0.530 ,-0.290 ,-0.111 ,-0.080 ,-0.056 ,0.211 ,0.483 ,0.084 ,0.285 ,0.437 ,0.632 ,0.587 ,0.710 ,0.722 ,0.984 ,0.928 ,1.565 
lSFG,3,-0.596 ,-0.354 ,0.175 ,0.071 ,0.074 ,0.436 ,0.489 ,0.723 ,0.407 ,0.747 ,0.855 ,0.905 ,1.037 ,1.055 ,1.287 ,1.433 ,2.045 
rSFG,4,-0.612 ,-0.233 ,0.180 ,0.098 ,0.221 ,0.195 ,0.593 ,0.620 ,0.665 ,0.810 ,0.838 ,0.744 ,0.934 ,1.105 ,1.341 ,0.903 ,1.974 
lMFG,5,-0.681 ,-0.176 ,-0.005 ,0.094 ,-0.085 ,0.326 ,0.257 ,0.532 ,0.503 ,0.740 ,0.758 ,0.844 ,0.782 ,0.974 ,0.984 ,0.921 ,1.919 
rMFG,6,-0.649 ,-0.232 ,-0.077 ,0.116 ,-0.068 ,0.291 ,0.314 ,0.271 ,0.149 ,0.516 ,0.579 ,0.513 ,0.919 ,0.981 ,1.223 ,1.003 ,1.759 
lIFGoperc,7,-0.444 ,-0.070 ,0.173 ,0.169 ,0.047 ,0.258 ,0.348 ,0.413 ,0.036 ,0.585 ,0.468 ,0.660 ,0.740 ,0.203 ,0.913 ,0.609 ,1.297 
rIFGoperc,8,-0.361 ,-0.227 ,0.124 ,0.036 ,0.025 ,0.168 ,0.305 ,0.305 ,0.330 ,0.409 ,0.342 ,0.066 ,0.480 ,0.581 ,0.559 ,0.446 ,1.084 
lIFGtriang,9,-0.666 ,-0.128 ,0.199 ,0.127 ,0.314 ,0.300 ,0.316 ,0.335 ,0.422 ,0.525 ,0.648 ,1.368 ,0.915 ,0.854 ,0.900 ,0.480 ,1.638 
rIFGtriang,10,-0.663 ,-0.328 ,0.001 ,0.235 ,0.101 ,0.119 ,0.323 ,0.792 ,0.505 ,0.468 ,0.339 ,0.947 ,0.881 ,0.610 ,1.179 ,0.917 ,1.614 
lIFGorb,11,-0.497 ,0.043 ,0.106 ,0.105 ,0.406 ,0.404 ,0.366 ,0.666 ,0.418 ,0.404 ,0.295 ,0.691 ,0.442 ,0.466 ,0.706 ,0.745 ,1.630 
rIFGorb,12,-0.554 ,-0.135 ,0.148 ,0.322 ,0.178 ,0.541 ,0.217 ,0.481 ,0.630 ,0.333 ,0.354 ,0.607 ,0.653 ,0.647 ,0.840 ,0.756 ,1.721 
lROL,13,-0.503 ,0.047 ,0.274 ,0.285 ,0.333 ,0.580 ,0.264 ,0.795 ,0.351 ,0.679 ,0.770 ,0.768 ,0.629 ,0.739 ,0.937 ,1.246 ,1.760 
rROL,14,-0.505 ,-0.148 ,0.206 ,0.233 ,0.351 ,0.123 ,0.144 ,0.583 ,0.440 ,0.251 ,0.602 ,0.570 ,0.809 ,0.747 ,0.817 ,1.071 ,1.722 
lSMA,15,-0.590 ,-0.370 ,-0.072 ,0.042 ,0.072 ,0.135 ,0.486 ,0.287 ,0.332 ,0.686 ,0.262 ,0.524 ,0.840 ,0.893 ,1.157 ,1.691 ,1.786 
rSMA,16,-0.586 ,-0.252 ,-0.069 ,-0.057 ,0.213 ,0.211 ,0.370 ,0.450 ,0.326 ,0.922 ,0.397 ,0.719 ,1.115 ,0.579 ,1.080 ,1.795 ,1.747 
lOLF,17,-0.374 ,0.234 ,0.495 ,0.629 ,0.456 ,0.763 ,0.744 ,0.879 ,0.786 ,1.038 ,0.951 ,0.725 ,1.192 ,1.217 ,1.318 ,1.118 ,1.895 
rOLF,18,-0.424 ,0.065 ,0.136 ,0.325 ,0.309 ,0.714 ,0.390 ,0.733 ,0.499 ,0.888 ,0.657 ,0.313 ,0.754 ,0.826 ,1.099 ,0.958 ,1.781 
lSFGmedial,19,-0.531 ,-0.200 ,0.075 ,0.187 ,0.201 ,0.507 ,0.583 ,0.599 ,0.372 ,0.697 ,0.636 ,0.806 ,1.127 ,1.002 ,1.198 ,1.560 ,2.044 
rSFGmedial,20,-0.548 ,-0.221 ,0.165 ,0.200 ,0.297 ,0.362 ,0.158 ,0.619 ,0.451 ,0.340 ,0.706 ,0.558 ,0.972 ,0.764 ,0.945 ,1.255 ,1.758 
lPFCventmed,21,-0.405 ,-0.077 ,0.135 ,0.371 ,0.274 ,0.505 ,0.538 ,0.633 ,0.675 ,0.399 ,1.124 ,0.446 ,1.065 ,0.635 ,0.844 ,0.837 ,1.648 
rPFCventmed,22,-0.467 ,-0.019 ,0.209 ,0.418 ,0.196 ,0.431 ,0.333 ,0.741 ,0.588 ,0.235 ,0.822 ,0.533 ,1.050 ,0.563 ,0.832 ,0.922 ,1.695 
