Name,Id_Atlas,Stage0,Stage1,Stage2,Stage3,Stage4,Stage5,Stage6,Stage7,Stage8,Stage9,Stage10,Stage11,Stage12,Stage13,Stage14,Stage15,Stage16
lPreCG,1,-0.648 ,-0.269 ,0.073 ,0.160 ,0.188 ,0.067 ,0.205 ,0.179 ,0.147 ,0.262 ,0.505 ,0.313 ,0.999 ,0.779 ,0.487 ,0.831 ,1.563 
rPreCG,2,-0.689 ,-0.335 ,0.149 ,0.101 ,0.044 ,-0.017 ,0.270 ,0.155 ,0.144 ,0.587 ,0.657 ,0.445 ,0.621 ,1.136 ,-0.101 ,0.976 ,1.586 
lSFG,3,-0.725 ,-0.221 ,0.042 ,0.365 ,0.230 ,0.371 ,0.330 ,0.239 ,0.345 ,0.869 ,0.805 ,1.064 ,0.952 ,1.120 ,1.124 ,1.280 ,1.799 
rSFG,4,-0.753 ,-0.205 ,-0.088 ,0.242 ,0.286 ,0.424 ,0.568 ,0.541 ,0.432 ,0.609 ,0.493 ,1.060 ,0.917 ,0.882 ,1.211 ,1.388 ,1.732 
lMFG,5,-0.765 ,-0.193 ,-0.029 ,0.115 ,0.476 ,0.402 ,0.537 ,0.148 ,0.338 ,0.244 ,1.107 ,0.863 ,0.881 ,0.837 ,1.482 ,1.380 ,1.607 
rMFG,6,-0.752 ,-0.188 ,-0.055 ,0.170 ,0.194 ,0.398 ,0.322 ,0.332 ,0.380 ,0.157 ,0.876 ,0.665 ,0.817 ,0.680 ,1.381 ,1.091 ,1.659 
lIFGoperc,7,-0.591 ,-0.060 ,0.061 ,0.011 ,0.238 ,0.411 ,0.152 ,0.475 ,0.702 ,0.330 ,0.785 ,0.640 ,1.049 ,1.131 ,1.051 ,1.117 ,1.264 
rIFGoperc,8,-0.488 ,-0.108 ,-0.014 ,-0.044 ,0.311 ,0.178 ,0.235 ,0.530 ,0.250 ,-0.178 ,0.319 ,0.451 ,0.670 ,0.625 ,1.264 ,0.665 ,0.806 
lIFGtriang,9,-0.646 ,-0.122 ,-0.014 ,0.189 ,0.248 ,0.070 ,0.242 ,0.465 ,0.658 ,0.523 ,0.650 ,0.966 ,0.819 ,1.190 ,1.448 ,1.305 ,1.458 
rIFGtriang,10,-0.733 ,-0.030 ,0.047 ,0.107 ,0.350 ,0.430 ,0.314 ,0.372 ,0.314 ,0.140 ,0.942 ,0.455 ,0.978 ,1.126 ,1.356 ,1.219 ,1.442 
lIFGorb,11,-0.651 ,0.126 ,0.215 ,-0.051 ,0.219 ,0.804 ,0.616 ,0.110 ,0.492 ,0.569 ,0.474 ,0.713 ,0.548 ,1.083 ,1.254 ,1.240 ,1.343 
rIFGorb,12,-0.650 ,-0.043 ,-0.114 ,0.204 ,0.701 ,0.104 ,0.427 ,0.225 ,0.297 ,0.656 ,0.347 ,0.598 ,0.516 ,1.182 ,1.031 ,1.275 ,1.309 
lROL,13,-0.489 ,-0.023 ,0.014 ,-0.010 ,0.140 ,0.157 ,0.225 ,0.388 ,0.504 ,0.949 ,0.698 ,0.355 ,0.659 ,0.961 ,0.375 ,1.084 ,1.369 
rROL,14,-0.470 ,-0.110 ,-0.032 ,0.060 ,0.236 ,0.440 ,0.110 ,0.657 ,0.337 ,1.042 ,0.351 ,0.302 ,0.867 ,0.582 ,1.674 ,0.936 ,1.469 
lSMA,15,-0.720 ,-0.234 ,0.077 ,0.316 ,0.172 ,0.253 ,0.430 ,0.162 ,0.352 ,0.157 ,0.634 ,0.722 ,0.923 ,0.699 ,0.471 ,0.930 ,1.455 
rSMA,16,-0.706 ,-0.217 ,0.034 ,0.115 ,0.028 ,0.452 ,0.333 ,0.271 ,0.346 ,-0.054 ,0.508 ,0.802 ,0.794 ,0.731 ,0.387 ,0.514 ,1.495 
lOLF,17,-0.390 ,0.140 ,0.006 ,0.295 ,0.421 ,0.706 ,0.615 ,0.904 ,0.543 ,0.772 ,0.934 ,1.303 ,1.011 ,1.120 ,2.016 ,1.546 ,1.807 
rOLF,18,-0.454 ,0.079 ,0.070 ,0.158 ,0.270 ,0.574 ,0.456 ,0.487 ,0.537 ,0.305 ,0.590 ,1.340 ,0.658 ,0.550 ,1.515 ,1.372 ,1.634 
lSFGmedial,19,-0.681 ,-0.100 ,0.200 ,0.222 ,0.485 ,0.596 ,0.419 ,0.502 ,0.685 ,0.579 ,0.688 ,1.113 ,0.988 ,1.252 ,0.947 ,1.091 ,1.804 
rSFGmedial,20,-0.681 ,-0.199 ,0.157 ,0.071 ,0.127 ,0.580 ,0.238 ,0.381 ,0.501 ,0.324 ,0.235 ,1.319 ,0.733 ,0.869 ,1.092 ,0.568 ,1.224 
lPFCventmed,21,-0.512 ,0.116 ,0.260 ,0.211 ,0.455 ,0.713 ,0.513 ,0.670 ,0.733 ,0.501 ,0.871 ,1.045 ,0.591 ,1.137 ,1.393 ,1.230 ,1.254 
rPFCventmed,22,-0.553 ,0.038 ,0.089 ,0.229 ,0.495 ,0.563 ,0.588 ,0.740 ,0.655 ,0.537 ,0.836 ,1.062 ,0.837 ,0.958 ,1.160 ,1.156 ,1.239 
lREC,23,-0.513 ,0.156 ,0.200 ,0.154 ,0.416 ,0.583 ,0.577 ,0.591 ,0.361 ,0.526 ,0.832 ,0.925 ,0.649 ,1.195 ,1.652 ,1.495 ,1.452 
rREC,24,-0.460 ,0.162 ,0.064 ,0.139 ,0.705 ,0.489 ,0.408 ,0.418 ,0.534 ,0.337 ,1.187 ,0.971 ,0.969 ,0.964 ,1.492 ,1.581 ,1.425 
lOFCmed,25,-0.553 ,-0.092 ,0.036 ,-0.064 ,0.659 ,0.533 ,0.248 ,0.230 ,0.373 ,0.325 ,0.554 ,0.574 ,0.769 ,1.041 ,1.657 ,0.940 ,1.161 
rOFCmed,26,-0.599 ,-0.112 ,0.325 ,-0.075 ,0.720 ,0.558 ,0.445 ,0.377 ,0.354 ,0.379 ,0.507 ,0.728 ,0.809 ,0.606 ,1.083 ,1.192 ,1.085 
lOFCant,27,-0.626 ,-0.216 ,0.178 ,-0.150 ,0.664 ,0.510 ,0.604 ,0.322 ,0.063 ,0.378 ,0.584 ,0.443 ,0.198 ,0.458 ,0.746 ,0.683 ,1.111 
rOFCant,28,-0.579 ,-0.124 ,0.234 ,-0.033 ,0.655 ,0.500 ,0.467 ,0.182 ,0.295 ,0.477 ,0.120 ,0.606 ,0.511 ,0.839 ,1.002 ,0.810 ,1.064 
lOFCpost,29,-0.491 ,0.069 ,0.349 ,0.020 ,0.121 ,0.721 ,0.761 ,0.097 ,0.321 ,0.357 ,0.572 ,0.719 ,0.286 ,0.907 ,1.559 ,0.743 ,1.214 
rOFCpost,30,-0.438 ,-0.043 ,0.424 ,-0.012 ,0.535 ,0.303 ,0.976 ,0.437 ,0.478 ,0.874 ,0.285 ,0.906 ,0.373 ,0.795 ,0.848 ,0.894 ,1.066 
lOFClat,31,-0.560 ,-0.126 ,0.158 ,0.054 ,0.423 ,0.259 ,0.306 ,0.178 ,0.338 ,0.398 ,0.020 ,0.820 ,-0.073 ,0.659 ,1.413 ,0.671 ,0.962 
rOFClat,32,-0.491 ,-0.198 ,0.047 ,0.098 ,0.281 ,0.226 ,0.449 ,0.123 ,-0.003 ,0.129 ,-0.036 ,0.405 ,0.017 ,0.600 ,1.020 ,0.805 ,0.695 
lINS,33,-0.506 ,0.270 ,0.062 ,0.464 ,0.585 ,0.475 ,1.079 ,0.814 ,1.254 ,1.202 ,1.234 ,0.856 ,1.267 ,1.678 ,1.602 ,1.912 ,2.134 
